data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
31/03/2026;PESCADOS;TRUTA;-;KG;39,4;40,1;40,8;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
01/04/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,35;43,87;44,52;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
01/04/2026;PESCADOS;PINTADO;-;KG;28,5;29,0;30,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
01/04/2026;PESCADOS;TAMBAQUI;-;KG;13,78;14,2;14,84;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
01/04/2026;PESCADOS;TILÁPIA;-;KG;12,97;13,38;13,8;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
01/04/2026;PESCADOS;TRUTA;-;KG;40,3;41,0;42,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/04/2026;PESCADOS;FILE DE TILAPIA;-;KG;43,19;43,85;44,69;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/04/2026;PESCADOS;PANGASIUS;-;KG;11,0;11,5;12,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/04/2026;PESCADOS;TAMBAQUI;-;KG;11,96;12,33;12,71;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/04/2026;PESCADOS;TILÁPIA;-;KG;14,6;15,3;16,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
02/04/2026;PESCADOS;TRUTA;-;KG;41,54;42,53;43,53;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,8;42,57;43,42;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;PANGASIUS;-;KG;9,8;9,9;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;PINTADO;-;KG;23,5;24,0;25,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;TAMBAQUI;-;KG;11,45;11,82;12,21;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;TILÁPIA;-;KG;15,54;16,34;17,13;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
06/04/2026;PESCADOS;TRUTA;-;KG;39,36;40,03;41,03;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
